Pointages AviMéca
t;x;y
(s);(m);(m)
0;0;0,0016
0,04;0,0465;0,0016
0,08;0,0945;0,00481
0,12;0,136;0,0128
0,16;0,176;0,0208
0,2;0,212;0,0321
0,24;0,24;0,0417
0,28;0,266;0,0513
0,32;0,285;0,0593
0,36;0,296;0,0641
0,4;0,301;0,0673
0,44;0,301;0,0673
0,48;0,296;0,0625
0,52;0,282;0,0593
0,56;0,263;0,0513
0,6;0,239;0,0417
0,64;0,208;0,0321
0,68;0,173;0,0208
0,72;0,131;0,0128
0,76;0,0881;0,00481
0,8;0,0417;0,0016
0,84;-0,00321;0
0,88;-0,0497;0,0016
0,92;-0,0929;0,00962
0,96;-0,138;0,0176
1;-0,171;0,0272
1,04;-0,204;0,0369
1,08;-0,231;0,0481
1,12;-0,252;0,0545
1,16;-0,266;0,0625
1,2;-0,272;0,0673
1,24;-0,276;0,0689
1,28;-0,269;0,0657
1,32;-0,26;0,0577
1,36;-0,24;0,0545
1,4;-0,216;0,0433
1,44;-0,187;0,0337
1,48;-0,154;0,0208
1,52;-0,114;0,00962
1,56;-0,0689;0,00641
1,6;-0,024;0,0016
1,64;0,0208;0,0016
1,68;0,0689;0,0016
1,72;0,112;0,00962
1,76;0,155;0,016
1,8;0,194;0,024
1,84;0,224;0,0369
1,88;0,255;0,0465
1,92;0,272;0,0545
1,96;0,29;0,0593
2;0,298;0,0673
2,04;0,3;0,0673
2,08;0,3;0,0657
2,12;0,288;0,0625
2,16;0,272;0,0545
2,2;0,252;0,0465
2,24;0,224;0,0353
2,28;0,192;0,0256
2,32;0,152;0,0176
2,36;0,112;0,00962
2,4;0,0673;0,00321
2,44;0,024;0
2,48;-0,024;0,0016
2,52;-0,0689;0,00801
2,56;-0,112;0,0144
2,6;-0,152;0,0224
2,64;-0,186;0,0321
2,68;-0,215;0,0417
2,72;-0,239;0,0529
2,76;-0,256;0,0625
2,8;-0,269;0,0657
2,84;-0,274;0,0657
2,88;-0,274;0,0673
2,92;-0,264;0,0641
2,96;-0,25;0,0577
3;-0,231;0,0481
3,04;-0,202;0,0401
3,08;-0,171;0,0288
3,12;-0,135;0,0192
3,16;-0,0945;0,0112
3,2;-0,0481;0,00801
3,24;-0,00321;0,0016
3,28;0,0449;0,0016
3,32;0,0881;0,00481
3,36;0,131;0,0112
3,4;0,171;0,0192
3,44;0,207;0,0304
3,48;0,239;0,0385
3,52;0,263;0,0497
3,56;0,282;0,0593
3,6;0,293;0,0625
3,64;0,295;0,0657
3,68;0,296;0,0657
3,72;0,293;0,0625
3,76;0,28;0,0593
3,8;0,263;0,0513
3,84;0,239;0,0417
3,88;0,208;0,0288
3,92;0,173;0,024
3,96;0,136;0,0128
4;0,0897;0,00481
4,04;0,0449;0,0016
4,08;0;0
4,12;-0,0449;0,00801
4,16;-0,0897;0,00962
4,2;-0,13;0,016
4,24;-0,168;0,0272
4,28;-0,197;0,0353
4,32;-0,224;0,0481
4,36;-0,247;0,0577
4,4;-0,263;0,0625
4,44;-0,271;0,0657
4,48;-0,271;0,0657
4,52;-0,269;0,0657
4,56;-0,256;0,0593
4,6;-0,24;0,0545
4,64;-0,215;0,0465
4,68;-0,187;0,0337
4,72;-0,154;0,0208
4,76;-0,114;0,0144
4,8;-0,0705;0,00641
4,84;-0,0272;0,0016
4,88;0,0176;0,0016
