Pointages AviMéca
t;x;y
(s);(m);(m)
0;0;-0,00138
0,033;0,0291;0
0,067;0,0498;0,00138
0,1;0,0775;0,00692
0,133;0,0983;0,0125
0,167;0,116;0,0194
0,2;0,133;0,0263
0,233;0,145;0,0332
0,267;0,156;0,0374
0,3;0,165;0,0415
0,333;0,169;0,0457
0,367;0,167;0,0457
0,4;0,163;0,0443
0,433;0,159;0,0401
0,467;0,152;0,036
0,5;0,14;0,0304
0,533;0,13;0,0263
0,567;0,111;0,0221
0,6;0,0941;0,0138
0,633;0,0706;0,00969
0,667;0,0484;0,0083
0,7;0,0235;0,00277
0,733;0,00138;0
0,767;-0,0291;0,00277
0,8;-0,0526;0,00692
0,833;-0,0706;0,0083
0,867;-0,0927;0,0111
0,9;-0,109;0,018
0,933;-0,122;0,0249
0,967;-0,131;0,0291
1;-0,14;0,0318
1,033;-0,143;0,0346
1,067;-0,143;0,0346
1,1;-0,138;0,0318
1,133;-0,133;0,0291
1,167;-0,127;0,0263
1,2;-0,115;0,0221
1,233;-0,0997;0,0152
1,267;-0,0844;0,0125
1,3;-0,0651;0,00969
1,333;-0,0429;0,0083
1,367;-0,0166;0,00415
1,4;0,0083;0,00415
1,433;0,0304;0,00554
1,467;0,0498;0,00554
1,5;0,072;0,00692
1,533;0,0927;0,0125
1,567;0,111;0,018
1,6;0,127;0,0249
1,633;0,137;0,0263
1,667;0,147;0,0332
1,7;0,154;0,0332
1,733;0,156;0,036
1,767;0,156;0,036
1,8;0,151;0,0346
1,833;0,145;0,0318
1,867;0,137;0,0277
1,9;0,127;0,0263
1,933;0,118;0,0194
1,967;0,0983;0,0152
2;0,0817;0,00969
2,033;0,0609;0,00554
2,067;0,0388;0,00692
2,1;0,0208;0,00554
2,133;-0,00138;0,00415
2,167;-0,0249;0,00415
2,2;-0,0484;0,00692
2,233;-0,0637;0,0111
2,267;-0,0817;0,0125
2,3;-0,0941;0,0166
2,333;-0,107;0,0208
2,367;-0,115;0,0249
2,4;-0,122;0,0277
2,433;-0,125;0,0277
2,467;-0,125;0,0249
2,5;-0,122;0,0235
2,533;-0,113;0,0221
2,567;-0,107;0,0194
2,6;-0,0955;0,018
2,633;-0,0789;0,0111
2,667;-0,0678;0,00969
2,7;-0,0512;0,00692
2,733;-0,0346;0,00554
2,767;-0,0125;0,00415
2,8;0,00969;0,00277
2,833;0,0304;0,00415
2,867;0,0471;0,00554
2,9;0,0734;0,0083
2,933;0,083;0,0111
2,967;0,104;0,0138
3;0,115;0,0221
3,033;0,125;0,0235
3,067;0,131;0,0263
3,1;0,137;0,0277
3,133;0,136;0,0291
3,167;0,137;0,0291
3,2;0,133;0,0277
3,233;0,126;0,0263
3,267;0,118;0,0221
3,3;0,111;0,0194
3,333;0,101;0,0152
3,367;0,0844;0,00969
3,4;0,0692;0,00692
3,433;0,0512;0,00692
3,467;0,0304;0,00692
3,5;0,0138;0,00554
3,533;-0,00415;0,00415
3,567;-0,0235;0,00277
3,6;-0,0415;0,0083
3,633;-0,0567;0,00969
3,667;-0,0706;0,0125
3,7;-0,0844;0,0138
3,733;-0,0913;0,0152
3,767;-0,101;0,018
3,8;-0,109;0,0221
3,833;-0,108;0,0221
3,867;-0,108;0,0221
3,9;-0,105;0,0194
3,933;-0,101;0,018
3,967;-0,0913;0,0166
4;-0,0803;0,0125
4,033;-0,0692;0,0125
