Pointages AviMeca
t;x;y
(s);(m);(m)
0,000;0,00E+0;2,52E+0
0,040;1,79E-1;2,73E+0
0,080;3,65E-1;2,92E+0
0,120;5,52E-1;3,11E+0
0,160;7,38E-1;3,29E+0
0,200;9,10E-1;3,42E+0
0,240;1,10E+0;3,55E+0
0,280;1,25E+0;3,70E+0
0,320;1,44E+0;3,80E+0
0,360;1,63E+0;3,89E+0
0,400;1,79E+0;3,95E+0
0,440;1,98E+0;4,00E+0
0,480;2,15E+0;4,05E+0
0,520;2,33E+0;4,09E+0
0,560;2,52E+0;4,09E+0
0,600;2,68E+0;4,09E+0
0,640;2,86E+0;4,09E+0
0,680;3,04E+0;4,05E+0
0,720;3,21E+0;4,03E+0
0,760;3,39E+0;3,95E+0
0,800;3,56E+0;3,88E+0
0,840;3,74E+0;3,79E+0
0,880;3,92E+0;3,68E+0
0,920;4,10E+0;3,58E+0
0,960;4,29E+0;3,42E+0
1,000;4,47E+0;3,29E+0
1,040;4,65E+0;3,11E+0
